customer_code,customer,platform,channel,market,sub_zone,region
90017054.0,Flawless Stores,Brick & Mortar,Retailer,Portugal,SE,EU
90017055.0,Electricalslance Stores,Brick & Mortar,Retailer,Portugal,SE,EU
90017056.0,Sorefoz,Brick & Mortar,Retailer,Portugal,SE,EU
90017057.0,Euronics,Brick & Mortar,Retailer,Portugal,SE,EU
90017058.0,Mbit,Brick & Mortar,Retailer,Portugal,SE,EU
90017059.0,Amazon,E-Commerce,Retailer,Portugal,SE,EU
90018105.0,Integration Stores,Brick & Mortar,Retailer,Spain,SE,EU
90018106.0,Flipkart,E-Commerce,Retailer,Spain,SE,EU
90018107.0,Elite,Brick & Mortar,Retailer,Spain,SE,EU
90018108.0,Relief,Brick & Mortar,Retailer,Spain,SE,EU
90018109.0,Chiptec,Brick & Mortar,Retailer,Spain,SE,EU
90018110.0,Boulanger,Brick & Mortar,Retailer,Spain,SE,EU
90018111.0,Media Markt,Brick & Mortar,Retailer,Spain,SE,EU
90018112.0,Euronics,Brick & Mortar,Retailer,Spain,SE,EU
90018113.0,Elkjøp,Brick & Mortar,Retailer,Spain,SE,EU
90018114.0,Amazon,E-Commerce,Retailer,Spain,SE,EU
90019200.0,Sorefoz,Brick & Mortar,Retailer,Sweden,NE,EU
90019201.0,Expert,Brick & Mortar,Retailer,Sweden,NE,EU
90019202.0,Argos (Sainsbury's),Brick & Mortar,Retailer,Sweden,NE,EU
90019203.0,Amazon,E-Commerce,Retailer,Sweden,NE,EU
90020097.0,Atlas Stores,Brick & Mortar,Retailer,Austria,NE,EU
90020098.0,Electricalsquipo Stores,Brick & Mortar,Retailer,Austria,NE,EU
90020099.0,Integration Stores,Brick & Mortar,Retailer,Austria,NE,EU
90020100.0,Nova,Brick & Mortar,Retailer,Austria,NE,EU
90020101.0,Euronics,Brick & Mortar,Retailer,Austria,NE,EU
90020102.0,Fnac-Darty,Brick & Mortar,Retailer,Austria,NE,EU
90020103.0,Amazon,E-Commerce,Retailer,Austria,NE,EU
90021086.0,Electricalsquipo Stores,Brick & Mortar,Retailer,United Kingdom,NE,EU
90021087.0,Logic Stores,Brick & Mortar,Retailer,United Kingdom,NE,EU
90021088.0,Electricalslytical,Brick & Mortar,Retailer,United Kingdom,NE,EU
90021089.0,Atlas Stores,Brick & Mortar,Retailer,United Kingdom,NE,EU
90021090.0,Radio Popular,Brick & Mortar,Retailer,United Kingdom,NE,EU
90021091.0,Expert,Brick & Mortar,Retailer,United Kingdom,NE,EU
90021092.0,UniEuro,Brick & Mortar,Retailer,United Kingdom,NE,EU
90021093.0,Chip 7,Brick & Mortar,Retailer,United Kingdom,NE,EU
90021094.0,Coolblue,Brick & Mortar,Retailer,United Kingdom,NE,EU
90021095.0,Amazon,E-Commerce,Retailer,United Kingdom,NE,EU
90022071.0,Acclaimed Stores,Brick & Mortar,Retailer,USA,NA,NA
90022072.0,Path,Brick & Mortar,Retailer,USA,NA,NA
90022073.0,Control,Brick & Mortar,Retailer,USA,NA,NA
90022074.0,Flipkart,E-Commerce,Retailer,USA,NA,NA
90022075.0,BestBuy,Brick & Mortar,Retailer,USA,NA,NA
90022076.0,Circuit City,Brick & Mortar,Retailer,USA,NA,NA
90022077.0,Radio Shack,Brick & Mortar,Retailer,USA,NA,NA
90022078.0,Costco,Brick & Mortar,Retailer,USA,NA,NA
90022079.0,walmart,Brick & Mortar,Retailer,USA,NA,NA
90022080.0,Staples,Brick & Mortar,Retailer,USA,NA,NA
90022081.0,Amazon,E-Commerce,Retailer,USA,NA,NA
90022082.0,Amazon,E-Commerce,Retailer,USA,NA,NA
90022083.0,Ebay,E-Commerce,Retailer,USA,NA,NA
90023022.0,Nomad Stores,Brick & Mortar,Retailer,Canada,NA,NA
90023023.0,Amazon,E-Commerce,Retailer,Canada,NA,NA
90023024.0,Sage,Brick & Mortar,Retailer,Canada,NA,NA
90023025.0,Premium Stores,Brick & Mortar,Retailer,Canada,NA,NA
90023026.0,Relief,Brick & Mortar,Retailer,Canada,NA,NA
90023027.0,Costco,Brick & Mortar,Retailer,Canada,NA,NA
90023028.0,walmart,Brick & Mortar,Retailer,Canada,NA,NA
90023029.0,Staples,Brick & Mortar,Retailer,Canada,NA,NA
90023030.0,Amazon,E-Commerce,Retailer,Canada,NA,NA
90024183.0,Electricalsbea Stores,Brick & Mortar,Retailer,Chile,LATAM,LATAM
90024184.0,Amazon,E-Commerce,Retailer,Chile,LATAM,LATAM
90025209.0,Electricalsbea Stores,Brick & Mortar,Retailer,Columbia,LATAM,LATAM
90026205.0,Amazon,E-Commerce,Retailer,Mexico,LATAM,LATAM
90027207.0,Amazon,E-Commerce,Retailer,Brazil,LATAM,LATAM
